experiment,network,storageMode,sendMode,batchSize,sendIntervalSeconds,batchWindowSeconds,transactionIndex,measurementsInTx,firstMeasurementIndex,lastMeasurementIndex,txHash,blockNumber,status,gasUsed,gasPerMeasurement,effectiveGasPriceWei,feeWei,feeEth,feeWeiPerMeasurement,feeEthPerMeasurement,requestBodyBytes,requestBodyBytesPerMeasurement,calldataBytes,calldataBytesPerMeasurement,txSubmitLatencyMs,confirmationLatencyMs,middlewareTotalLatencyMs,oldestDeviceToBlockLatencySeconds,newestDeviceToBlockLatencySeconds,avgDeviceToBlockLatencySeconds,logsCount
batch-vs-single-real-lm35,sepolia,array,batch,5,10,0,1,5,1,5,0xd4aab83a490efef276e527d2c19939909c35cac03a82e0d052cf5b2424545617,11209483,1,651027,130205.4,1120781599,729659082052173,0.000729659082052173,145931816410434.6,0.00014593181641043461,,,1572,314.4,,,,59,19,39.0,5
batch-vs-single-real-lm35,sepolia,array,single,1,10,0,1,1,1,1,0x5e590a123a1ce72031dca46d1746763b4859a0bd178250fc43d03359c9fa4118,11209335,1,157340,157340.0,1131639868,178052216831120,0.00017805221683112,178052216831120.0,0.00017805221683112,,,292,292.0,,,,2,2,2.0,1
batch-vs-single-real-lm35,sepolia,array,single,1,10,0,2,1,2,2,0x2e9b1da5b31c088da5652bb57763218e106bd38996a9d59334192cce2e7f5361,11209336,1,157340,157340.0,1069778722,168318984119480,0.00016831898411948,168318984119480.0,0.00016831898411948,,,292,292.0,,,,4,4,4.0,1
batch-vs-single-real-lm35,sepolia,array,single,1,10,0,3,1,3,3,0x3f537c5769c933ae702e290245ac696daf8158b297f78ae566576ff29145ce67,11209337,1,157340,157340.0,1020929593,160633062162620,0.00016063306216262,160633062162620.0,0.00016063306216262,,,292,292.0,,,,6,6,6.0,1
batch-vs-single-real-lm35,sepolia,array,single,1,10,0,4,1,4,4,0xc16900751c8111a286029a51b25819e71459ed2ff0052a4be29e38fe348f0187,11209356,1,157340,157340.0,1118667713,176011177963420,0.00017601117796342,176011177963420.0,0.00017601117796342,,,292,292.0,,,,15,15,15.0,1
batch-vs-single-real-lm35,sepolia,array,single,1,10,0,5,1,5,5,0x5db206d676d2d9efe382f9e184b69fe632dca97fc14779214564f1c716d1c34a,11209356,1,157340,157340.0,1118667713,176011177963420,0.00017601117796342,176011177963420.0,0.00017601117796342,,,292,292.0,,,,5,5,5.0,1
